词条	拼音	分类	释义	例句
乌苏	ou55sou21	形容词	因不干净、不整齐而令人不舒服	几化日脚弗淴浴，身浪~杀哉。（好多天没洗澡，身上难受死了。）
下作	gho22tsoh44	形容词	下流	
恶劣	oh55lih55	形容词	可恶	搿小贼~得来。（这小子太可恶。）
厌气	ie55chi21	形容词	寂寞	日朝关辣房里，~杀哉。（天天关在屋里，真寂寞。）
咬	ngau231	形容词	渴望	~杀葛想要畅套红木家生。（渴望着想要买套红木家具。）
要紧	iau55cin21	形容词		
要紧弗杀		形容词	非常匆忙	倷~走作啥？（你为什么急着走？）
野好	ya22hau44	形容词	过意不去、难为情，常用语客套话	送仔搿点物事拨伲，真是~哉。（送了那么些东西给我们，真太不好意思了。）
弹硬	de22ngan44	形容词	过得硬	我搿只产品是~。
硬横	ngan22wan44	形容词	硬气，不服软	人末小，倒蛮~葛。（人虽然小，倒挺硬气。）
做作	tsou55tsoh21	形容词	作秀	样子弗自然，忒~则。
贼腔	zeh23chian31	形容词	行为举止丑	看俚搿种样子，阿要~！
王六	waon22loh44	形容词	指人不可靠，靠不住	倷想靠儿子是~葛。（你想靠儿子是靠不住的。）
轧实	gaeh23zeh55	形容词	①确实	倷葛闲话~惑。（你的话确实<对>。）
轧实	gaeh23zeh55	形容词	②实际上	说末说十只羊（十块钱），~末七只羊（七块钱）就够则。
酌趣	tsah55tshie412	形容词	知趣、自觉，不给人添麻烦	俚蛮~葛。（他很知趣。）
酌敛	tsah55lie52	形容词	知趣、自觉，不给人添麻烦	
无趣	m22tshi44	形容词	没意思	倷讲出哀种闲话来就~则。（你说这样的话就没意思了。）
弗趣	feh55tshi412	形容词	同“不欢而散”的“不欢”	倷弄弄就要搭别人家~葛。（你跟人打交道一不小心就要不愉快。
近情	jin22zin44	形容词	情况接近打到目的	俚笃两家头谈得~。（他俩快谈成了，多指谈恋爱。）
着乖	tsah55kua34	形容词	机灵，会看眼色	
托熟	thoh55zoh55	形容词	非常熟悉	讲起苏州葛景致来末，我~。
角灵灵		形容词	形容穿得特别端正，有讽刺义	倷看俚今朝要去见丈母娘，着（穿）得~。
白撩撩		形容词	（脸色）苍白	
直独独		形容词	直来直去，略有贬义	讲闲话弗好搿场~葛。
野豁豁		形容词	差的太多，离谱	
厌淘淘		形容词	色眯眯	搿个赤佬看见女人就有点~则。
鬼搭搭		形容词	鬼鬼祟祟	
物事	meh23zy31	形容词	东西	
劳曹	lau22zau44	形容词	劳什子，对东西之类的贬称	
老鬼三		形容词	鬼东西，带有一定程度的厌恶或害怕	搿~叶来哉。（那鬼东西又来了！）
好货	hau52hou21	形容词	好东西	
老爷货		形容词	老出毛病，像老爷那样要人伺候的器物	
厾脱货		形容词	废物	
落脚货		形容词	很差的东西	
触当货		形容词	质量不合标准的货或假货	
假老戏		形容词	假的东西	
小零之碎		形容词	价钱不高的小东西，多指食物	买点~拨小人吃吃。（买点小东西给孩子吃。）
空屁	khon55phi21	形容词	空的，什么都没有	
魂灵	wen22lin44	形容词	灵魂	
魂灵头		形容词	灵魂	
窝荡	ou55daon21	形容词	位置，多指比较舒适的位置	哀搭是我葛老~，倷覅坐得来。（这是我的老位置，你别坐这儿。）
肉段		形容词	猪身上肉最多的部位，比喻最精华的部分	
介形<老>	ka55in21	形容词	状态	
外快	nga22khua44	形容词	另外的好处	
毛栗子		形容词	屈起中指，敲击脑门儿	
触腔	tshoh55chian34	形容词	令人讨厌的样子	看搿种~，阿要排曹。（看这种讨厌相，多丢人。）
笃脸	toh55lie52	形容词	脸，贬义	看看倷只~，阿要贼腔。（看你这张脸，多丑！）
嘴讲	tsyu41kaon34	形容词	口才	~蛮好。（很有口才。）
噱头	shiuh55deu34	形容词	①小骗局，多出现在商家兜售商品时；	
噱头	shiuh55deu34	形容词	②演员用的笑料	
□尔	ueh55er34	形容词	小骗局，多出现在朋友开玩笑时	拨俚个~吃吃。
堆卓	te55tsoh21	形容词	成堆的东西的体积	看上去~倒弗少惑。（卡上去这一堆东西倒不少啊。）
下巴戏		形容词	糟糕的事、乱子	难要弄出~来哉。（这下要糟了。）
尖年头		形容词	尖儿	
地地脚管<老>		形容词	地址	摘个~拨我。（抄个地址给我。）
地头脚管<老>		形容词	地址	
气力	chi55lih21	形容词	力气	
气把	chi55po21	形容词	全身整体的力气，比“气力”要抽象一些	俚葛~实头好葛。（他的力气真大。）
当口	taon55kheu21	形容词	机会到来的时刻	齐巧勒海~浪，千万弗好错过。（正好机会来，千万不能错过。）
料摸	liau22moh44	形容词	即“胸中无数”的“数”	倷捺亨一滴滴~匣无不。（你怎么一点儿数也没有？）
眼功	nge22kon44	形容词	眼力	俚葛~蛮好葛，一枪就打中。
花头	ho55deu21	形容词	①花招	俚~蛮大葛。（他花招挺多。）
花头	ho55deu21	形容词	②隐藏的好处	做哀个生意是无不啥~葛。（做这个生意没什么油水。）
花露水		形容词	隐藏的好处	
因头	in55deu21	形容词	苗头	桩事体像杀有点~哉。（这事情好像有点苗头了。）
招势	tsau55syu21	形容词	现场的惊人情势，比如许多人蜂拥抢购东西	搿种~是看勒海匣吓葛，还是覅买吧。（这种情势看着都害怕，还是别买了。）
潮流	zau22leu44	形容词	意义同普通话，但老的口语中常用，声调为阳去。现在从普通话来的~，则读阳平	搿是~范就，无不办法葛。（这是潮流决定的，没办法改。）
脱□	theh55thie412	形容词	失误	我一个~，闯仔祸则。
脉门	mah23men31	形容词	关键的穴道	一把抓辣~浪。
栏关	le22kue44	形容词	遮拦，遮挡。多用于房屋	搿个房子造得弗好，一滴滴~匣无不。（这房子盖得不好，一点儿不安全。）
汤塔	thaon55thaeh21	形容词	遮拦，遮挡。多用于房屋	
累坠	le22ze44	形容词	这是口语说法	拿爷娘当~是弗可以加。
靠傍	khau55baon21	形容词	依靠	一滴滴匣无不~是弗来三葛。（一点儿没有依靠是不行的。）
小吓里/底		形容词	儿时	伲儿子~好孛相杀葛。（我儿子小时候好玩得很。）
八成账		形容词	八成	~弗来则。（八成不来了。）
一卓堆		形容词	紧挤在一起的一团	卓辣~。（挤成一团。）
雨豁搭		形容词	下雨时中间短暂的停歇不下的时间	趁~，倷快点走吧。（趁雨暂时停了，你快走吧。）
前夹心		形容词	胸脯，本指猪的，实际多用于人，略有讽刺义	~挺出仔，神气杀则。（挺着胸，神气死了。）
彭光气		形容词	一肚子气	听见仔~。（听了让人一肚子气！）
肚膨气胀		形容词	一肚子气	
生腥气		形容词	有的食物因半生不熟，会有一种生的气味，如没有完全炒熟的花生米	
泥土气		形容词	①指食物有类似泥土的异味	泥鳅吃起来有~葛，苏州人是覅吃葛。（泥鳅吃着有泥土气，苏州人是不吃的。）
泥土气		形容词	②心理上的厌恶、惧怕	昨日出门就碰着别人出棺材，心里~得啦。
酒扑气		形容词	人喝了酒后口重呼出的酒气	
落汤鸡		形容词	形容浑身湿透的人	
暗关子		形容词	玄机，多指语言中的	俚葛闲话里向有~勒海。（他话中有话。）
沐泰山		形容词	①苏州著名中药店	
沐泰山		形容词	②比喻人行动迟缓	真是个~，到现在还摸弗出。（到现在还在磨蹭。）
身背浪		形容词	身上（的责任）	~葛责任蛮重。
回往心		形容词	痛感前非之心	一个人要有点~。
江湖诀		形容词	江湖骗子的骗术	
臀塌冲		形容词	屁股蹲儿	
一	ih43	数词量词	数数：～二三	
二	gni231	数词量词	数数：一～三	
两	lian231	数词量词		
三	se44	数词量词	数数：一二～，下面七条同	
四	sy523	数词量词		
五	ng231	数词量词		
六	loh23	数词量词		
七	tshih43	数词量词		
八	poh43	数词量词		
九	cieu51	数词量词		
十	zeh23	数词量词		
一个	ih55keh55	数词量词		
两个	lian24keh21	数词量词		
十个	zeh23keh55	数词量词		
第一	di22ih44	数词量词		
第二	di22gni44	数词量词		
第十	di22zeh44	数词量词		
第一个		数词量词		
第二个		数词量词		
第十个		数词量词		
一号	ih55ghau412	数词量词	指日历的日期	
两号	lian24ghau21	数词量词	指日历的日期，二号，不说“二号”，但书写时写成“二号”	
十号		数词量词	指日历的日期	
初一	tshou55ih21	数词量词	专指农历的日期	
初二	tshou55gni21	数词量词	专指农历的日期	
初十	tshou55zeh21	数词量词	专指农历的日期	
二十	gni24zeh21	数词量词	专指农历的日期	
老大	lau24dou21	数词量词	指子女的排行	
老二	lau24gni21	数词量词	指子女的排行	
老拖	lau22thou44	数词量词	最小的（孩子）	
大哥	da22kou44	数词量词		
二哥	gni22kou44	数词量词		
十一	zeh23ih55	数词量词		
十二		数词量词		
十五	so52ng21	数词量词		
廿	gnie231	数词量词		
二十	er22zeh44	数词量词		
廿一	gnie22ih44	数词量词		
廿二	gnie22gni44	数词量词		
廿五	gnia22ng44	数词量词		
三十	se55zeh21	数词量词		
三十一		数词量词		
三十五		数词量词		
一百	ih55pah55	数词量词		
一千	ih55tshie34	数词量词		
一百零两		数词量词		
一百十		数词量词		
一百十个		数词量词		
一百十一		数词量词		
一百廿		数词量词		
一百三		数词量词		
两百	lian24pah21	数词量词		
两百五（十）		数词量词		
二百五		数词量词	喻指傻瓜	
两百五十个		数词量词		
一千一		数词量词	一千一百	
一千一百个		数词量词		
两千	lian24tshie21	数词量词		
一万	ih55ve412	数词量词		
一万两		数词量词	一万二千	
两万	lian24ve21	数词量词		
两万五		数词量词	两万五千	
零	lin223	数词量词		
两家头		数词量词	俩人（强调二人关系好）	弟兄~要好杀。（兄弟俩很好。）
三家头		数词量词	仨人（强调二人关系好）	伲~一淘去。（咱们仨一块儿去。）
两斤	lian24cin21	数词量词	二斤	
二两	gni24lian21	数词量词		
二钱	gni24zie21	数词量词		
两钱	lian24zie21	数词量词		
两尺	lian24tshah21	数词量词	二尺	
两寸	lian24tshen21	数词量词	二寸	
两里	lian24li21	数词量词	二里	
两担	lian24te21	数词量词	二担	
两斗	lian24teu21	数词量词	二斗	
两亩	lian24m21	数词量词	二亩	
几个	ci52keh21	数词量词		
多个	tou55keh21	数词量词	好几个	
半个	poe41keh34	数词量词		
一个半		数词量词		
大一半		数词量词	大半	
小一半		数词量词	小半	
个把	kou55po21	数词量词	一个左右	
一两个		数词量词	一个或两个	
头两个		数词量词	两个或两个略多	
三四个		数词量词		
三五个		数词量词		
七八个		数词量词		
靠十个		数词量词	近十个	
十三四个		数词量词		
十三五个		数词量词		
十七八个		数词量词		
十多个		数词量词		
十几个		数词量词		
百把个		数词量词	一百个左右	
一百多个		数词量词		
千把个		数词量词	一千个左右	
万把块		数词量词	一万块左右	
一两里路		数词量词	一里或者二里路	
一块半		数词量词	1.50元（人民币）	
两角半		数词量词	0.25元（人民币）	
一滴滴		数词量词	一点儿	
一沰沰		数词量词	一点儿	
一密密		数词量词	一点儿	
一屑屑		数词量词	一点儿	
一眼眼		数词量词	一点儿	
只	tsah43	数词量词	一～猪、马、牛、狗、鸟、蚊子、台子（桌子）、矮凳（凳子）、交椅（椅子）、床、碗、茶壶、茶杯、船、飞机、房间、缸、手、臂膊（胳膊）、歌、故事、镬子（锅）、麻袋、篮、桶、学堂（学校）、钟、表（手表）、嘴	
个	keh43	数词量词	一～人、客人、鼻头（鼻子）、馒头、西瓜、书包、枕头	
根	ken44	数词量词	一～头发、黄瓜、油条、香烟、自来火（火柴）、蜡烛、延线（缝衣针）、扁担、绳、竹头（竹子）	
条	diau223	数词量词	一～河、鱼、蛇、裤子、被头（被子）、单被（被单）、席、肥皂（相连的两块）、路	
部	bu231	数词量词	一～车子、汽车、脚踏车、机器、电话、电影	
块	khue523	数词量词	"一～板、布、大饼（烧饼）、手巾、绢头、肥皂、砖头、肉、洋钿（钱） "	
粒	lih23	数词量词	一～豆、西瓜子、长生果肉（花生米）、米、糖（指水果糖）、星	
沰	toh43	数词量词	一～水、痰、恶（粪便）、血、眼泪、馋唾（口水）	
主	tsyu51	数词量词	种：哀～人、物事（东西）、颜色	
把	po51	数词量词	一～伞、出头、枪、超（调羹）、扫帚、刀、锁、米	
副	fu51	数词量词	一～圈（耳环），镯头，筷、象棋、牌、手套、眼镜	
顶	tin51	数词量词	一～桥、轿子、帽子、帐子	
瓣	pe51	数词量词	一～花瓣、叶子、书（一页书）	
笔	pih43	数词量词	一～生意、账、铜钿（钱）	
段	doe231	数词量词	一～墨、布、文章	
杆	kuoe51	数词量词	一～笔、秤	
件	jie231	数词量词	一～衣裳、行李	
棵	khou44	数词量词	一～树、菜	
口	kheu51	数词量词	一～井、棺材、吃一～	
面	mie231	数词量词	一～旗、镜子、见一～	
门	men223	数词量词	一～题目、亲事	
囊	naon223	数词量词	一～橘子（指橘子的一瓣儿）	
爿	be223	数词量词	一～店、厂、医院	
扇	soe51	数词量词	一～窗、门	
双	saon44	数词量词	一～鞋子、袜	
张	tsan44	数词量词	一～纸头（纸）、报	
支	tsyu44	数词量词	一～笔、枪	
埭	da231	数词量词	一～（行）字、走一～（走一趟）、去一～	
杯	pe44	数词量词	一～茶，烧酒	
家	ka44	数词量词	一～人家	
间	ke44	数词量词	一～房间	
具	jiu231	数词量词	一～锁	
顿	ten523	数词量词	一～饭、生活（一顿打）	
帖	thih43	数词量词	一～药（重要）	
谢	za231	数词量词	一～雨	
样	yan231	数词量词	一～物事（东西）	
炷	tsyu51	数词量词	一～香	
桩	tsaon44	数词量词	一～事体（事情）	
主	tsyu51	数词量词	一～房子	
幢	zaon231	数词量词		
本	pen51	数词量词	一～书	
封	fon44	数词量词	一～信	
朵	tou51	数词量词	一～花	
盏	tse51	数词量词	一～灯	
X	a44	数词量词	一～西瓜（指西瓜的一块）	
琴	jin223	数词量词	一～琴头（台阶）	
桌	tsoh43	数词量词	一～酒水（酒席）	
出	tsheh43	数词量词	一～戏	
篇	phie44	数词量词	一～文章	
刀	tau44	数词量词	一～草纸（卫生纸）	
碗	uoe51	数词量词	一～饭	
卷	cioe51	数词量词	一～纸头	
担	te523	数词量词	一～米	
进	tsin523	数词量词	一～房子	
串	tshoe523	数词量词	一～鞭炮	
对	te523	数词量词	一～花瓶	
套	thau523	数词量词	一～书	
窠	khou44	数词量词	一～胡峰	
尊	tsen44	数词量词	一～菩萨	
堵	tou51	数词量词	一～墙头（墙）	
皮	bi223	数词量词	层：砌仔一～砖头	
荡	daon231	数词量词	一～场化（地方）	
跨	kho523	数词量词	一～（一拃，大拇指与中指张开的长度）	
盒	ghah23	数词量词	一～自来火（火柴）	
角	koh43	数词量词	一～洋钿（钱）	
瓶	bin223	数词量词	一～酱油	
箱子	sian55 tsy21	数词量词	一～衣裳	
橱	zyu223	数词量词	一～衣裳	
抽屉	tsheu55 thi21	数词量词	一～档	
篮	le223	数词量词	一～菠菜	
炉子	lou22 tsy44	数词量词	一～灰	
缸	kaon44	数词量词	一～水	
袋	de231	数词量词	一～米	
袋袋	de22 de44	数词量词	一～糖（一口袋糖）	
罐头	kuoe55 deu21	数词量词	一～荔枝	
甏	ban231	数词量词	一～老酒（一坛子酒）	
吊子	tiau55 tsy21	数词量词	一～开水（一壶开水）	
镬子	ghoh tsy	数词量词	一～饭（一锅饭）	
笼	lon223	数词量词	一～馒头（包子）	
盘	boe223	数词量词	一～水果	
盆子	ben22 tsy44	数词量词	一～小菜（一碟子菜）	
超	tshau44	数词量词	一～汤（一勺汤）	
盘	boe223	数词量词	着（下）一～棋	
附	vu231	数词量词	绕一～线	
圈	chioe44	数词量词	叉一～麻将	
记	ci523	数词量词	敲一～（打一下）	
转	tsoe51	数词量词	回：去一～	
我	ngou231	代词		
奴	nou231	代词	女子自称	
倷	ne231	代词	你	
俚	li44	代词	他	
俉倷	n55ne21	代词	他	
伲	ni231	代词	我们，包括或不包括听话人	俉笃弗去~去。（你们不去我们去！）|~一淘去。(咱们一块儿去。）
俉笃	ng24toh21	代词	你们	
俚笃	li55toh21	代词	他们	
大家	da22ka44	代词		
自家	zy22ka44	代词	自己	
别人家		代词		
别人	bih23gnin31	代词		
人家	gnin22ka44	代词		
哀个	e55keh21	代词	这个	我要~，覅弯个。（我要这个，不要那个。）
该个	ke55keh21	代词	这个	
弯个	ue55keh21	代词	那个	我要哀个，覅~。（我要这个，不要那个。）
归个	kue55keh21	代词	那个	
搿个	geh23keh55	代词	这个或那个	我要~，覅弯个。（我要这个，不要那个。）|我要哀个，覅~。（我要这个，不要那个。）
哪个	lo23keh31	代词		
哪里个		代词		
哀搭	e55taeh21	代词	这里	辣~，弗辣弯搭。（在这里，不在那里。）
该搭	ke55taeh21	代词	这里	
哀搭摊		代词	这里	
哀搭点		代词	这里	
弯搭	ue55taeh21	代词	那里	辣哀搭，弗辣~。（在这里，不在那里。）
归搭	kue55taeh21	代词	那里	
搿搭	geh23taeh55	代词	这里或那里。	辣~，弗辣弯搭。（在这里，不在那里。）|辣哀搭，弗辣~。（在这里，不在那里。）
哪搭	lo23taeh31	代词	哪里	倷到~去。（你到哪里去？）
哪搭点		代词	哪里	
啥场化		代词	哪里	
哪里搭		代词	哪里	
哀场	e55zan21	代词	这么，这样（高/做）	~贵啊！
该场	ke55zan21	代词	这么，这样（高/做）	
弯场	ue55zan21	代词	那么，那样（高/做）	~贵啊！
归场	kue55zan21	代词	那么，那样（高/做）	
搿场	geh23zan55	代词	这/那么，这/那样	~贵啊！
实梗	zeh23kan55	代词	这/那么，这/那样	
实梗		代词	所以	俚身体弗好，~弗来哉。（他身体不好，所以不来。）
搿佬		代词	所以	
捺亨	naeh23han31	代词	怎样，怎么	哀个（这个）字~写？|~，阿灵？（怎么样，棒不棒？）
几化	ci52ho21	代词	①很多	有~人。（有很多人。）
几化	ci52ho21	代词	②问多少	有~人？（多少人？）
几化	ci52ho21	代词	③多么（高、大、厚、重）	~重勒海。
几化	ci52ho21	代词	④问多（高、大、厚、重）	~重？
几时	ci52zyu21	代词	哪一天	倷~来？（你哪天来？）
啥辰光		代词	什么钟点	现在~则？
几点钟		代词	什么钟点	
啥	sa523	代词	什么	吃点~？（吃点什么？）
啥人	sa41gnin34	代词	谁	倷寻~？（你找谁？）
啥个	sa41keh34	代词	什么	哀个（这个）是~字？|~事体？（什么事体？）
啥等样		代词	什么样的	俚是个~人？
作啥	tsoh55sa412	代词	①干什么	倷勒海~？（你在干什么？）
作啥	tsoh55sa412	代词	②为什么	你~弗去？
啥体	sa41thi34	代词	为什么	倷~弗去？（你为什么不去？）
啥佬	sa41lau34	代词	为什么	
伲葛	gni24keh21	代词	我的，我们的	
伲爷	gni231ya223	代词	我爸	~今年60岁。
倷葛	ne24keh21	代词	你的	
俉笃爷		代词	你爸	~阿辣屋里？（你爸在家吗？）
哀点	e55tie21	代词	这些	
该点	ke55tie21	代词	这些	
搿点	geh23tie55	代词	这些	
弯点	ue55tie21	代词	那些	
归点	kue55tie21	代词	那些	
搿点	geh23tie55	代词	那些	
哀种	e55tson21	代词	这种	
哀注	e55tsyu21	代词	这种	
哀种介个		代词	部分人习惯这么说，似以女孩子为多	~物事我真匣覅勒。（这种东西我才不要呢。）
伲两家头		代词	我们俩，咱们俩	
俉笃两家头		代词	你们俩	
俚笃两家头		代词	他们俩	
夫妻两家头		代词	夫妻俩	
夫妻淘里		代词	夫妻俩	
娘两个		代词	娘儿俩（母子或母女）	
爷两个		代词	爷儿俩（父子或父女）	
拜姆淘里		代词	妯娌们	
姑嫂淘里		代词	姑嫂们	
婆新妇淘里		代词	婆媳俩	
弟兄两家头		代词	兄弟俩	
兄弟淘里		代词	兄弟们	
姊妹两家头		代词	姐妹俩	
姊妹淘里		代词	①姐妹们；	
姊妹淘里		代词	②兄弟姊妹们	
男人家子		代词	爷儿们（男子的通称）	
女人家子		代词	娘儿们（妇女通称）	
弗	feh43	副词能愿词	不	
朆	fen44	副词能愿词	未曾，没有，副词	
覅	fiau523	副词能愿词	①不要	我~。
阿	aeh43	副词能愿词	②别	倷~去。（你别去。）
[曾阿]	an44	副词能愿词	用在动词前，表过去的是非问，可曾	倷昨日~去。（你昨天去了没有？）
蛮	me44	副词能愿词	很	~灵。（很好。）
裁	ze223	副词能愿词	都，圈	~来则。
匣	ghaeh23	副词能愿词	①也	倷去我~去。
匣	ghaeh23	副词能愿词	②都	连老师~弗懂。
顶	tin51	副词能愿词		弟兄三个当中俚（他）~大。
最	tse51	副词能愿词		
就	zeu231	副词能愿词		我吃仔饭~去。
叶	yih23	副词能愿词	又	~来则。
还	we223	副词能愿词		俚~朆转来。（他没回来。）
忒	theh43	副词能愿词	太	房子~贵，买弗起。
再	tse44	副词能愿词		明朝~来。
穷	jion223	副词能愿词	非常，20世纪60年代出现的说法	
交关	ciau55kue21	副词能愿词	非常	
甚忙	zen22maon44	副词能愿词	过分	吃得~饱弗好。（吃得过分饱不好。）
过份	kou41fen34	副词能愿词		
本生	pen41san34	副词能愿词	原本	~弗去葛。（原本不去。）
本则	pen41tseh34	副词能愿词	原本	
常张<老>	zan22tsan44	副词能愿词	常常	
触爬	tshoh55bo52	副词能愿词	恐怕	~要落雨则。
出爬	tsheh55bo52	副词能愿词	恐怕	
大面<老>	dou22mie44	副词能愿词	多半的可能	俚~是弗会得来哉。（他多半是不会来了。）
板	pe51	副词能愿词	一定	~要去。|~弗来哉。（一定不来了。）
板要	pe52iau21	副词能愿词	一定要	~来吤。（这是嘱咐对方必须来！）
定坚	din22cie44	副词能愿词	表意愿的一定	~要去。|~弗肯。（硬是不干。）
定规	din22kue44	副词能愿词	表意愿的一定	
硬做	ngan22tsou44	副词能愿词	表意愿的一定	
阿壳张		副词能愿词	怎料到	~俚会出事体葛。（谁知道他会出事呢？）
弗壳张		副词能愿词	没想到	~俚会出事体葛。（没想到他会出事啊！）
阿作兴		副词能愿词	是否可能	~俚弗来则。（他会不会不来了？）
弗作兴		副词能愿词	不应该	~骂人葛。（骂人是不应该的。）
刚刚	kaon55kaon21	副词能愿词	刚，指时间	俚~来
刚正	kaon55tsen21	副词能愿词	刚，指时间	
姜<老>	cian44	副词能愿词	刚，指时间	
加二<老>	ka55gni21	副词能愿词		今朝比昨日~热。
更加<新>	ken41ka34	副词能愿词		
共总	gon22tson44	副词能愿词	总攻	
一塌刮子		副词能愿词	一股脑儿	~裁勒海哉。（一股脑儿全在<这里>了。）
搁落三姆		副词能愿词	一股脑儿	
亨孛冷打		副词能愿词	一股脑儿	
亨孛冷		副词能愿词	一股脑儿	
一起手		副词能愿词	一下子	~吃仔三碗饭。
大约模账		副词能愿词	大概	~三个号头。（大概三个月。）
毛毛叫		副词能愿词	奖金	~三十斤。（将近三十斤。）
豪燥	ghau22sau44	副词能愿词	赶紧	~走吧。（时间不早了，快走吧。）
横竖	wan22zyu44	副词能愿词	反正	弗要紧，~还来得其（来得及）。
横道	wan22dau44	副词能愿词	反正	
横竖道		副词能愿词		
即莫	tsih55moh55	副词能愿词	即将	~要好快哉。（马上就要完<完成、结束>了。）
家险乎		副词能愿词	差一点	~笑出来。（差一点笑出来。）
险家乎		副词能愿词	差一点	
坚（吃、着、用）	cie44	副词能愿词	经（吃），耐（穿、用）	炒蛋是弗~吃葛。（炒鸡蛋可是不经吃的啊。）
亏得	chiu55teh21	副词能愿词	幸亏	~我老早有准备。
亏杀	chiu55saeh21	副词能愿词	幸亏	
老讲	lau24kaon21	副词能愿词	老师	俚~迟到。
马上	maon55zan21	副词能愿词		
难板	ne22pe44	副词能愿词	难得	倷~来葛。
千定	tshie55din21	副词能愿词	千万，副词	~弗好忘记啊！
剩光	zen22kuaon44	副词能愿词	只剩	我~一块洋钿则。（我只剩一块钱了。）
偏生	phie55san21	副词能愿词	偏	弗让俚去，俚~要去。（不让他去，他偏要去。）
偏	phie44	副词能愿词		
偏偏	phie55phie21	副词能愿词		
死杀	si41saeh34	副词能愿词	硬是	批评俚，俚~弗领盆。（批评他，他硬是不服气。）
齐巧	zi22chiau44	副词能愿词	恰好	~十斤|~拨我碰着。（批评他，他硬是不服气。）
□性	saeh55sin412	副词能愿词	索性	~吃光仔吧。（干脆吃完了吧。）
伤性	saon55sin21	副词能愿词	索性	
尚怕	zaon22pho44	副词能愿词	恐怕	~弗会来哉。（恐怕不会来啦。）
张怕	tsan55pho21	副词能愿词	恐怕	
尚期<老>	zan22ji44	副词能愿词	恐怕	
生天	san55thie21	副词能愿词	本来、一向	我~实梗葛。（我一向如此。）
直头	zeh23deu31	副词能愿词	①果真	~弗来则。（果真不来了。）
直头	zeh23deu31	副词能愿词	②真	今朝葛菜~灵葛。（今天的菜真好。）
着着	zah23zah55	副词能愿词	用在方位词前，指最尽头的位置	~里向，~后头
顺带便		副词能愿词	顺便儿	
仰刚	gnian22kaon44	副词能愿词	仰脸（躺）	覅~睏。（别仰脸躺。）
一埭路		副词能愿词	一路上，一边……	~走、~吃。（一边走，一边吃。）
一干子		副词能愿词	①一个人	我~捺亨弄得连牵介。（我一个人怎么干的成呢？）
一干子		副词能愿词	②独自	我~去
一家头		副词能愿词	①一个人	
一家头		副词能愿词	②独自	
一脚走		副词能愿词	一次性	saq性~写好仔吧。（干脆一次写完了吧。）
一径		副词能愿词	一直	~住辣苏州
一靠背		副词能愿词	清一色	~裁是白衬衫蓝裤子。（清一色都是白衬衫蓝裤子。）
一来兴		副词能愿词	一下子	~就吃光哉。（一下子就吃完了。）
一道	ih55dau34	副词能愿词	一块儿	搭倷~去。（跟你一块儿去。）
又心	yeu22sin44	副词能愿词	既然做了第一件事，干脆再做第二件	倷辣伲搭吃仔中饭，~夜饭匣辣伲搭吃吧。（你在我们家吃了午饭，干脆晚饭也在我们家吃吧。）
有心	ieu55sin21	副词能愿词	故意	~捣乱
原归	gnioe22kue44	副词能愿词	还是（原样）	~一样|~要去
缘善	yoe22zo44	副词能愿词	本来已……	俚~勒海弗开心，倷还要去惹俚。（他本来就不高兴，你还要去惹他。）
难通道		副词能愿词	难道	~俚会得骗我？
再难	tse55ne21	副词能愿词	无论，再	~哭匣无妈用。（再哭也没有用。）
侭让	tsin52gnian21	副词能愿词	尽自	弗好~拨俚孛相葛。（不能尽让他玩。）
真主	tsen55tsyu21	副词能愿词	主要	~裁是俚做葛。（主要都是他干的。）
心心	sin55sin21	副词能愿词	全部	~裁是俚做葛。（全部都是他干的。）
独剩	doh23zan31	副词能愿词	老师	~坐辣门口头。
直脚	zeh23ciah55	副词能愿词	简直	
弗然	feh55zoe34	副词能愿词	不然，否则	
吓挺	hah55thin52	副词能愿词	到极顶	倷件以上，~卖一百块。（你这件衣服，最多卖一百元。）
先弗先		副词能愿词	首先	~俚就弗肯去。（首先他就不愿意去。）
阿超至于		副词能愿词	何至于	~实梗伤心。（何至于这么伤心。）
弗超至于		副词能愿词	不至于	
阿有介事		副词能愿词	有这么回事吗？	
夹夹绕		副词能愿词	缠着不放	
呆板数		副词能愿词	确定无疑	~八点钟上班
淘来弗来		副词能愿词	顺便，不是特地	倷搭我~看看阿尤宽紧带卖。（你帮我说顺便看看有没有松紧带卖。）
呆呆调		副词能愿词	恰好	一跤跟朵~跌辣水凼里。（一跤恰恰摔在水潭里。）
轧轧实实		副词能愿词	老实说	~几钿？（实说多少钱？）
□	tsi44	副词能愿词	再（制），重新（加工）	搿是~摇头绳结葛。（这是再生毛线打的。）|哀葛粥是~热粥。（这粥是重新加热的。）
大头航注		副词能愿词	第一重要	~，饭先吃饱仔再讲。（第一要紧，先吃饱了饭再说。）
自然络然		副词能愿词	自然而然	用弗着学葛，到辰光~会葛。（不用学，到时候自然会。）
蛆钻划辣		副词能愿词	形容痒得难以忍受	身浪向~葛痒。（身上痒得难以忍受。）
只	tseh43	副词能愿词	净	~吃菜，弗吃饭。
摊	the44	副词能愿词	净	
摊摊	the55the21	副词能愿词	净	
单单	te55te21	副词能愿词	净	
只	tseh43	副词能愿词		我~去过一埭。
终	tson44	副词能愿词	大约	~会得来加。（大约总会来吧？）
准定	tsen52din21	副词能愿词	约定	~明朝去。（说定了明天去。）
准其	tsen41ji34	副词能愿词	约定	
