参考汉字	参考读音	简要解释
豆饼	dei21pin44	黄豆渣滓，用作肥料。
菜饼	tshe44pin21	油菜籽榨过后的残渣，用作肥料。
猪窠灰	tsyu32khou21hue23	猪粪。
猪圈灰	tsyu32jioe21hue23	见tsyu khou hue。
羊窠灰	yan13khou44hue21	羊粪。
羊圈灰	yan13jioe44hue21	见yan khou hue。
拾鸡粪	zih13 ci32fen23	捡拾鸡粪用来作肥料。
捉狗屎	tsoh32kei21sy23/tsoh5 kei33sy44	拾狗屎用来作肥料。
垩壅	u44ion21	施肥。
施肥	sy32vi23/sy44 vi113	见u ion。
浇粪	ciau32fen23/ciau44 fen34	见u ion。
粪坑	fen44khen21	农家的厕所。
屎坑	sy33khan44	见fen khen。
坑缸	khen32kaon23	见fen khen。
铅[记音]缸	khe32kaon23	见fen khen。
屎坑角落头	sy33khan44 koh4loh4dei44	形容微不足道的地方，含贬义。
粪桶	fen44don21	
靠[记音/俗字作拷]粪	khau34 fen34	舀粪。
挑粪	thiau32fen23	
掘井	jiuih13tsin21/jiuih13 tsin323	
拎水	'''lin44 syu323'	
扁担	pie33te44	
挑担	thiau32te23	
牛鼻销	nyeu13bih4siau21	系牛绳于牛鼻的短木棒。
牛绳	nyeu13zen21	牵牛的绳。
水车	syu33tshou44	
牛打水	nyeu13tan44syu21	用牛推动的水车。
柴堆	za13te21	
捋桑叶	leh13 saon32yih23	
养蚕宝宝	yan13 zoe13pau44pau21	养蚕。
蚕台	zoe13de21	放置蚕匾的架子。
养猪猡	yan21tsyu44lou21/yan13 tsyu32lou23	养猪。
落小猪猡	loh13 siau33tsyu44lou44	生小猪。
煠猪食	zah13 tsyu32zeh23	煮猪食。
喂猪猡	iu34 tsyu32lou23	喂猪。
赶鸭	koe33ah4	把鸭子放到池塘里。
放鸡	faon34 ci44	将鸡放出去散养。
捉鱼	tsoh21ng44/tsoh5 ng113	用网或者徒手从水中捕捉鱼类。
戳鱼	tshoh5 ng113	插鱼。
摸蟹	moh13 h323	捉蟹。
